,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
93,P Utseya (ZIM),11,164,160,8571,6239,133,46.9,4.36,64.4,2,1,2004,2015,5,36
94,Abdul Qadir (PAK),10,104,100,5100,3454,132,26.16,4.06,38.6,4,2,1983,1993,5,44
95,B Kumar (INDIA),7,114,113,5451,4568,132,34.6,5.02,41.2,4,1,2012,2019,5,42
96,M Dillon (WI),8,108,107,5480,4218,130,32.44,4.61,42.1,3,3,1997,2005,5,29
97,Mohammad Nabi (AFG),10,124,120,5919,4231,130,32.54,4.28,45.5,3,0,2009,2019,4,30
98,RJ Shastri (INDIA),11,150,136,6613,4650,129,36.04,4.21,51.2,2,1,1981,1992,5,15
99,JE Taylor (WI),14,90,88,4341,3780,128,29.53,5.22,33.9,3,1,2003,2017,5,48
100,DK Morrison (NZ),9,96,95,4586,3470,126,27.53,4.53,36.3,1,2,1987,1996,5,34
101,Rubel Hossain (BDESH),10,101,99,4540,4300,126,34.12,5.68,36.0,7,1,2009,2019,6,26
102,Mohammad Rafique (Asia/BDESH),12,125,124,6414,4739,125,37.91,4.43,51.3,3,1,1995,2007,5,47
103,KAJ Roach (WI),11,92,90,4459,3763,124,30.34,5.06,35.9,3,3,2008,2019,6,27
104,Azhar Mahmood (PAK),11,143,139,6242,4813,123,39.13,4.62,50.7,2,3,1996,2007,6,18
105,Mohammad Sami (PAK),14,87,85,4284,3567,121,29.47,4.99,35.4,3,1,2001,2015,5,10
106,AG Cremer (ZIM),9,96,95,4680,3597,119,30.22,4.61,39.3,4,3,2009,2018,6,46
107,IR Bishop (WI),9,84,83,4332,3127,118,26.5,4.33,36.7,7,2,1988,1997,5,25
108,IVA Richards (WI),16,187,131,5644,4228,118,35.83,4.49,47.8,1,2,1975,1991,6,41
109,K Rabada (SA),4,75,73,3842,3199,117,27.34,4.99,32.8,6,1,2015,2019,6,16
110,R Rampaul (WI),12,92,88,4033,3434,117,29.35,5.1,34.4,8,2,2003,2015,5,49
111,Dawlat Zadran (AFG),8,82,80,3769,3423,115,29.76,5.44,32.7,3,0,2011,2019,4,22
112,PAJ DeFreitas (ENG),10,103,103,5712,3775,115,32.82,3.96,49.6,1,0,1987,1997,4,35
113,AD Mathews (SL),11,214,155,5083,3907,115,33.97,4.61,44.2,1,1,2008,2019,6,20
114,I Sharma (INDIA),9,80,78,3733,3563,115,30.98,5.72,32.4,6,0,2007,2016,4,34
115,Wahab Riaz (PAK),11,89,88,4209,4011,115,34.87,5.71,36.6,4,1,2008,2019,5,46
116,WJ Cronje (SA),8,188,153,5357,3966,114,34.78,4.44,46.9,1,1,1992,2000,5,32
117,MC Snedden (NZ),10,93,90,4525,3237,114,28.39,4.29,39.6,1,0,1980,1990,4,34
118,GR Larsen (NZ),9,121,119,6368,4000,113,35.39,3.76,56.3,1,0,1990,1999,4,24
119,KJ O'Brien (IRE),13,142,113,4224,3672,113,32.49,5.21,37.3,5,0,2006,2019,4,13
120,PD Collingwood (ENG),10,197,151,5186,4294,111,38.68,4.96,46.7,3,1,2001,2011,6,31
121,Mudassar Nazar (PAK),12,122,104,4855,3432,111,30.91,4.24,43.7,1,1,1977,1989,5,28
122,Yuvraj Singh (Asia/INDIA),17,304,161,5048,4294,111,38.68,5.1,45.4,2,1,2000,2017,5,31
123,Junaid Khan (PAK),8,76,76,3601,3216,110,29.23,5.35,32.7,4,0,2011,2019,4,12
124,Naved-ul-Hasan (PAK),7,74,72,3466,3221,110,29.28,5.57,31.5,6,1,2003,2010,6,27
125,DR Tuffey (NZ),10,94,92,4333,3534,110,32.12,4.89,39.3,2,0,2000,2010,4,24
126,TT Bresnan (ENG),9,85,84,4221,3813,109,34.98,5.42,38.7,3,1,2006,2015,5,48
127,GP Wickramasinghe (SL),12,134,132,5720,4321,109,39.64,4.53,52.4,1,0,1990,2002,4,48
128,SP O'Donnell (AUS),6,87,87,4350,3102,108,28.72,4.27,40.2,5,1,1985,1991,5,13
129,DNT Zoysa (SL),10,95,93,4259,3213,108,29.75,4.52,39.4,2,1,1997,2007,5,26
130,RAS Lakmal (SL),10,85,83,3824,3478,107,32.5,5.45,35.7,3,0,2009,2019,4,13
131,Mustafizur Rahman (BDESH),4,56,55,2813,2458,107,22.97,5.24,26.2,3,5,2015,2019,6,43
132,PA de Silva (SL),19,308,156,5148,4177,106,39.4,4.86,48.5,2,0,1984,2003,4,30
133,TM Dilshan (SL),17,330,204,5880,4778,106,45.07,4.87,55.4,3,0,1999,2016,4,4
134,A Nel (SA),7,79,76,3801,2935,106,27.68,4.63,35.8,3,1,2001,2008,5,45
