,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
580,M Hayward (SA),4,21,21,993,858,21,40.85,5.18,47.2,1,0,1998,2002,4,31
581,NB Mahwire (ZIM),2,23,21,885,775,21,36.9,5.25,42.1,0,0,2004,2006,3,29
582,WP Masakadza (ZIM),3,17,16,859,734,21,34.95,5.12,40.9,1,0,2015,2018,4,21
583,Mohsin Kamal (PAK),5,19,19,881,760,21,36.19,5.17,41.9,1,0,1984,1989,4,47
584,PP Ojha (INDIA),4,18,17,876,652,21,31.04,4.46,41.7,1,0,2008,2012,4,38
585,AO Suji (KENYA),12,60,46,1295,1175,21,55.95,5.44,61.6,0,0,1996,2008,2,14
586,Wasim Raja (PAK),12,54,29,1036,687,21,32.71,3.97,49.3,1,0,1973,1985,4,25
587,MH Yardy (ENG),5,28,28,1332,1075,21,51.19,4.84,63.4,0,0,2006,2011,3,24
588,Kabir Ali (ENG),3,14,13,673,682,20,34.1,6.08,33.6,1,0,2003,2006,4,45
589,STR Binny (INDIA),1,14,12,490,439,20,21.95,5.37,24.5,0,1,2014,2015,6,4
590,TS Chisoro (ZIM),3,18,16,768,556,20,27.8,4.34,38.4,0,0,2015,2018,3,16
591,DT Christian (AUS),2,19,19,727,595,20,29.75,4.91,36.3,0,1,2012,2014,5,31
592,Faheem Ashraf (PAK),2,23,22,902,744,20,37.2,4.94,45.1,0,1,2017,2019,5,22
593,DR Hadlee (NZ),3,11,11,628,364,20,18.2,3.47,31.4,1,0,1973,1976,4,34
594,A Jadeja (INDIA),8,196,52,1248,1094,20,54.7,5.25,62.4,0,0,1992,2000,3,3
595,RT Lyons (SCOT),4,25,23,1093,901,20,45.05,4.94,54.6,0,0,2006,2010,3,21
596,N Madziva (ZIM),2,12,12,520,519,20,25.95,5.98,26.0,1,0,2014,2016,4,49
597,JO Ngoche (KENYA),3,17,17,878,569,20,28.45,3.88,43.9,0,0,2010,2013,3,18
598,KMA Paul (WI),1,16,16,740,737,20,36.85,5.97,37.0,0,0,2018,2019,3,44
599,NO Perry (WI),1,21,21,946,783,20,39.15,4.96,47.3,0,0,1999,2000,3,45
600,N Pokana (PNG),2,14,14,641,503,20,25.15,4.7,32.0,0,0,2017,2019,3,25
601,Rashid Khan (PAK),5,29,28,1414,923,20,46.15,3.91,70.7,0,0,1980,1985,3,47
602,DA Reeve (ENG),5,29,28,1147,820,20,41.0,4.28,57.3,0,0,1991,1996,3,20
603,Shoaib Mohammad (PAK),9,63,35,919,725,20,36.25,4.73,45.9,0,0,1984,1993,3,20
604,RML Taylor (SCOT),3,15,15,713,617,20,30.85,5.19,35.6,0,0,2013,2016,3,39
605,MHN Walker (AUS),7,17,17,1006,546,20,27.3,3.25,50.3,1,0,1974,1981,4,19
606,GG Arnold (ENG),3,14,13,714,339,19,17.84,2.84,37.5,1,0,1972,1975,4,27
607,PVD Chameera (SL),4,23,23,895,796,19,41.89,5.33,47.1,0,0,2015,2019,3,20
608,TM Chappell (AUS),3,20,14,736,538,19,28.31,4.38,38.7,0,0,1980,1983,3,31
609,Enamul Haque (BDESH),12,29,28,1238,1083,19,57.0,5.24,65.1,0,0,1990,2002,2,40
610,AW Greig (ENG),5,22,19,916,619,19,32.57,4.05,48.2,1,0,1972,1977,4,45
611,VA Holder (WI),5,12,12,681,454,19,23.89,4.0,35.8,0,1,1973,1978,5,50
612,RD Jackman (ENG),9,15,15,873,598,19,31.47,4.1,45.9,0,0,1974,1983,3,41
613,DS Kulkarni (INDIA),2,12,12,598,508,19,26.73,5.09,31.4,1,0,2014,2016,4,34
614,MA Leask (SCOT),5,34,31,1142,1019,19,53.63,5.35,60.1,1,0,2014,2019,4,37
615,BJ McKechnie (NZ),6,14,14,818,495,19,26.05,3.63,43.0,0,0,1975,1981,3,23
616,JN Maguire (AUS),1,23,20,1009,769,19,40.47,4.57,53.1,0,0,1983,1984,3,61
617,Mohammad Akram (PAK),5,23,21,989,790,19,41.57,4.79,52.0,0,0,1995,2000,2,28
618,Mushfiqur Rahman (BDESH),4,28,28,1332,983,19,51.73,4.42,70.1,0,0,2000,2004,2,21
619,PDRL Perera (SL),8,19,19,888,820,19,43.15,5.54,46.7,0,0,1999,2007,3,23
620,Shahid Nazir (PAK),4,17,17,810,649,19,34.15,4.8,42.6,0,0,1996,2000,3,14
621,T Shamsi (SA),3,17,17,879,798,19,42.0,5.44,46.2,1,0,2016,2019,4,33
622,M Sheikh (KENYA),3,21,21,778,625,19,32.89,4.82,40.9,1,0,1997,2000,4,36
623,Sohail Khan (PAK),8,13,13,666,597,19,31.42,5.37,35.0,0,1,2008,2016,5,55
624,Tanwir Afzal (HKG),4,20,19,852,601,19,31.63,4.23,44.8,0,0,2014,2018,3,20
625,AJ Traicos (ZIM),10,27,26,1524,987,19,51.94,3.88,80.2,0,0,1983,1993,3,35
626,PCR Tufnell (ENG),7,20,20,1020,699,19,36.78,4.11,53.6,1,0,1990,1997,4,22
627,Anwar Ali (PAK),3,22,22,927,944,18,52.44,6.11,51.5,0,0,2013,2016,3,66
628,GD Campbell (AUS),1,12,12,613,404,18,22.44,3.95,34.0,0,0,1989,1990,3,17
629,RO Collinge (NZ),5,15,15,859,479,18,26.61,3.34,47.7,0,1,1973,1978,5,23
630,MD Dai (PNG),4,18,18,954,675,18,37.5,4.24,53.0,0,0,2014,2018,3,58
631,DR Gilbert (AUS),0,14,14,684,552,18,30.66,4.84,38.0,0,1,1986,1986,5,46
632,DJ Hussey (AUS),5,69,39,802,698,18,38.77,5.22,44.5,2,0,2008,2013,4,21
633,BD Julien (WI),4,12,12,778,463,18,25.72,3.57,43.2,2,0,1973,1977,4,20
634,AP Kuiper (SA),5,25,19,588,518,18,28.77,5.28,32.6,0,0,1991,1996,3,33
635,J Lewis (ENG),2,13,13,716,500,18,27.77,4.18,39.7,1,0,2005,2007,4,36
636,CS Martin (NZ),7,20,19,948,804,18,44.66,5.08,52.6,0,0,2001,2008,3,62
637,Mohammad Ashraful (Asia/BDESH),12,177,40,697,661,18,36.72,5.69,38.7,0,0,2001,2013,3,26
638,B Muzarabani (ZIM),0,18,18,786,733,18,40.72,5.59,43.6,1,0,2018,2018,4,47
639,MV Nagamootoo (WI),2,24,24,1189,998,18,55.44,5.03,66.0,1,0,2000,2002,4,32
640,AH Omarshah (ZIM),13,28,25,1077,812,18,45.11,4.52,59.8,0,0,1983,1996,3,33
641,Rahat Ali (PAK),4,14,14,679,658,18,36.55,5.81,37.7,0,0,2012,2016,3,40
642,KT Sandher (CAN),1,15,15,696,569,18,31.61,4.9,38.6,0,0,2006,2007,3,24
643,GC Smith (Afr/SA),11,197,43,1026,951,18,52.83,5.56,57.0,0,0,2002,2013,3,30
644,CB Sole (SCOT),2,11,11,522,468,18,26.0,5.37,29.0,2,0,2016,2018,4,28
645,RE van der Merwe (NL/SA),10,15,15,789,658,18,36.55,5.0,43.8,0,0,2009,2019,3,27
646,KC Wessels (AUS/SA),11,109,23,749,666,18,37.0,5.33,41.6,0,0,1983,1994,2,16
647,AG Wharf (ENG),1,13,13,584,428,18,23.77,4.39,32.4,1,0,2004,2005,4,24
648,LR Williams (WI),5,15,15,659,556,18,30.88,5.06,36.6,0,0,1996,2001,3,16
649,Adeel Raja (NL),9,21,21,846,690,17,40.58,4.89,49.7,1,0,2002,2011,4,42
650,DJ Capel (ENG),3,23,22,1038,805,17,47.35,4.65,61.0,0,0,1987,1990,3,38
651,EAR de Silva (SL),6,28,28,1374,967,17,56.88,4.22,80.8,0,0,1986,1992,3,38
652,MV Fleming (ENG),1,11,11,523,434,17,25.52,4.97,30.7,1,0,1997,1998,4,45
653,HH Kanitkar (INDIA),3,34,28,1006,803,17,47.23,4.78,59.1,0,0,1997,2000,2,22
654,JJC Lawson (WI),4,13,12,558,498,17,29.29,5.35,32.8,1,0,2001,2005,4,57
655,Mohammad Nawaz (3) (PAK),3,15,15,699,607,17,35.7,5.21,41.1,1,0,2016,2019,4,42
656,J Nyumbu (ZIM),1,19,18,844,738,17,43.41,5.24,49.6,0,0,2014,2015,3,42
657,PADLR Sandakan (SL),3,21,20,961,1031,17,60.64,6.43,56.5,1,0,2016,2019,4,52
658,A Shahzad (ENG),1,11,11,588,490,17,28.82,5.0,34.5,0,0,2010,2011,3,41
659,PM Siddle (AUS),10,20,19,901,743,17,43.7,4.94,53.0,0,0,2009,2019,3,55
660,J Theron (SA/USA),9,9,9,412,379,17,22.29,5.51,24.2,0,1,2010,2019,5,44
661,Aizaz Khan (HKG),4,19,19,728,680,16,42.5,5.6,45.5,0,0,2014,2018,2,26
662,Asif Iqbal (PAK),6,10,10,592,378,16,23.62,3.83,37.0,1,0,1973,1979,4,56
663,JP Behrendorff (AUS),0,11,11,591,517,16,32.31,5.24,36.9,0,1,2019,2019,5,44
664,SM Boland (AUS),0,14,13,716,725,16,45.31,6.07,44.7,0,0,2016,2016,3,67
665,GR Codrington (CAN),1,17,17,731,577,16,36.06,4.73,45.6,1,0,2006,2007,4,33
666,CD de Lange (SCOT),1,13,12,546,371,16,23.18,4.07,34.1,0,1,2016,2017,5,60
667,Ehsan Nawaz (HKG),4,12,12,513,458,16,28.62,5.35,32.0,2,0,2014,2018,4,47
668,GJ Gilmour (AUS),1,5,5,320,165,16,10.31,3.09,20.0,0,2,1974,1975,6,14
669,PJC Hoffmann (SCOT),1,18,17,743,555,16,34.68,4.48,46.4,0,0,2006,2007,3,22
670,SHU Karnain (SL),6,19,14,635,505,16,31.56,4.77,39.6,0,1,1984,1990,5,26
671,DE Malcolm (ENG),4,10,10,526,404,16,25.25,4.6,32.8,0,0,1990,1994,3,40
672,S Matsikenyeri (ZIM),13,113,38,920,778,16,48.62,5.07,57.5,0,0,2002,2015,2,25
673,JL Pattinson (AUS),4,15,15,727,681,16,42.56,5.62,45.4,1,0,2011,2015,4,51
674,BS Sandhu (INDIA),2,22,21,1110,763,16,47.68,4.12,69.3,0,0,1982,1984,3,27
675,RR Sarwan (WI),13,181,25,581,586,16,36.62,6.05,36.3,0,0,2000,2013,3,31
676,MC Sorensen (IRE),3,13,12,543,520,16,32.5,5.74,33.9,1,0,2013,2016,4,40
677,RJW Topley (ENG),1,10,10,463,410,16,25.62,5.31,28.9,1,0,2015,2016,4,50
678,RJ Trott (BMUDA),2,11,11,537,412,16,25.75,4.6,33.5,1,0,2007,2009,4,46
679,MP Vaughan (ENG),6,86,28,796,649,16,40.56,4.89,49.7,1,0,2001,2007,4,22
680,R Vijay Bharadwaj (INDIA),3,10,9,372,307,16,19.18,4.95,23.2,0,0,1999,2002,3,34
681,Zakir Khan (PAK),6,17,16,646,494,16,30.87,4.58,40.3,1,0,1984,1990,4,19
682,MR Adair (IRE),0,9,9,484,509,15,33.93,6.3,32.2,2,0,2019,2019,4,19
683,KK Ahmed (INDIA),1,11,11,480,465,15,31.0,5.81,32.0,0,0,2018,2019,3,13
684,PJW Allott (ENG),3,13,13,819,552,15,36.8,4.04,54.6,0,0,1982,1985,3,41
685,CJA Amini (PNG),5,15,15,732,560,15,37.33,4.59,48.8,1,0,2014,2019,4,27
686,Azeem Hafeez (PAK),2,15,14,719,586,15,39.06,4.89,47.9,1,0,1983,1985,4,22
687,SL Boock (NZ),9,14,13,700,513,15,34.2,4.39,46.6,0,0,1978,1987,3,28
688,DCC Borden (BMUDA),2,12,12,411,392,15,26.13,5.72,27.4,1,0,2006,2008,4,30
689,Danish Kaneria (PAK),6,18,18,854,683,15,45.53,4.79,56.9,0,0,2001,2007,3,31
690,G Dymock (AUS),6,15,14,806,412,15,27.46,3.06,53.7,0,0,1974,1980,2,21
691,TCB Fernando (SL),2,17,17,700,586,15,39.06,5.02,46.6,0,1,2001,2003,5,67
692,KD Ghavri (INDIA),6,19,19,1033,708,15,47.2,4.11,68.8,0,0,1975,1981,3,40
693,S Lamichhane (NEPAL),1,6,6,319,222,15,14.8,4.17,21.2,2,0,2018,2019,4,24
694,NC McGarrell (WI),3,17,17,859,681,15,45.4,4.75,57.2,0,0,1998,2001,3,32
695,KH MacLeay (AUS),4,16,16,857,626,15,41.73,4.38,57.1,0,1,1983,1987,6,39
696,GH O'Brien (BMUDA),2,9,9,456,405,15,27.0,5.32,30.4,0,0,2006,2008,3,31
697,SS Pathirana (SL),2,18,18,765,720,15,48.0,5.64,51.0,0,0,2015,2017,3,37
698,SM Patil (INDIA),6,45,20,864,589,15,39.26,4.09,57.6,0,0,1980,1986,2,28
699,Rajin Saleh (BDESH),3,43,19,539,459,15,30.6,5.1,35.9,1,0,2003,2006,4,16
700,AK Sharma (INDIA),5,31,29,1140,875,15,58.33,4.6,76.0,0,0,1988,1993,3,41
701,L Sivaramakrishnan (INDIA),2,16,16,756,538,15,35.86,4.26,50.4,0,0,1985,1987,3,35
702,CT Tremlett (ENG),6,15,15,784,705,15,47.0,5.39,52.2,1,0,2005,2011,4,32
703,JTC Vaughan (NZ),4,18,17,696,524,15,34.93,4.51,46.4,1,0,1992,1996,4,33
704,UWMBCA Welegedara (SL),1,10,9,457,433,15,28.86,5.68,30.4,0,1,2009,2010,5,66
705,LJ Wright (ENG),7,50,37,1038,884,15,58.93,5.1,69.2,0,0,2007,2014,2,34
706,JO Angara (KENYA),6,17,15,588,569,14,40.64,5.8,42.0,0,0,1997,2003,3,30
707,Anshuman Rath (HKG),4,18,7,337,167,14,11.92,2.97,24.0,0,0,2014,2018,3,22
708,F Behardien (SA),5,59,35,748,719,14,51.35,5.76,53.4,0,0,2013,2018,3,19
709,DE Bernard (WI),7,20,17,624,526,14,37.57,5.05,44.5,0,0,2003,2010,3,32
710,GS Blewett (AUS),4,32,24,749,646,14,46.14,5.17,53.5,0,0,1995,1999,2,6
711,S Chanderpaul (WI),17,268,28,740,636,14,45.42,5.15,52.8,0,0,1994,2011,3,18
712,GJ Cosier (AUS),4,9,8,409,248,14,17.71,3.63,29.2,0,1,1975,1979,5,18
713,JWM Dalrymple (ENG),1,27,23,840,666,14,47.57,4.75,60.0,0,0,2006,2007,2,5
714,Enamul Haque jnr (BDESH),4,10,10,576,422,14,30.14,4.39,41.1,0,0,2005,2009,3,16
715,UC Hathurusingha (SL),7,35,25,954,709,14,50.64,4.45,68.1,1,0,1992,1999,4,57
716,Jalal-ud-Din (PAK),1,8,7,306,211,14,15.07,4.13,21.8,1,0,1982,1983,4,32
717,SKW Kelly (BMUDA),3,10,10,389,371,14,26.5,5.72,27.7,0,0,2006,2009,3,36
718,D Mongia (INDIA),6,57,21,640,571,14,40.78,5.35,45.7,0,0,2001,2007,3,31
719,Mosaddek Hossain (BDESH),3,35,33,902,787,14,56.21,5.23,64.4,0,0,2016,2019,3,13
720,A Nao (PNG),2,13,13,613,495,14,35.35,4.84,43.7,0,0,2017,2019,3,40
721,JD Nel (SCOT),4,19,19,730,649,14,46.35,5.33,52.1,1,0,2006,2010,4,25
722,IE O'Brien (NZ),1,10,10,453,488,14,34.85,6.46,32.3,0,0,2008,2009,3,68
723,Rahmat Shah (AFG),6,73,26,524,504,14,36.0,5.77,37.4,0,1,2013,2019,5,32
724,Rumman Raees (PAK),1,9,9,463,464,14,33.14,6.01,33.0,0,0,2017,2018,3,49
725,JA Snow (ENG),4,9,8,538,232,14,16.57,2.58,38.4,2,0,1971,1975,4,11
726,Sohrawordi Shuvo (BDESH),1,17,17,762,572,14,40.85,4.5,54.4,0,0,2010,2011,3,14
727,SA Ankola (INDIA),8,20,20,807,615,13,47.3,4.57,62.0,0,0,1989,1997,3,33
728,MP Bicknell (ENG),1,7,7,413,347,13,26.69,5.04,31.7,0,0,1990,1991,3,55
729,KD Boyce (WI),2,8,8,470,313,13,24.07,3.99,36.1,1,0,1973,1975,4,50
730,ST Clarke (WI),4,10,10,524,245,13,18.84,2.8,40.3,0,0,1978,1982,3,22
731,PC Connell (IRE),2,13,12,564,518,13,39.84,5.51,43.3,0,0,2008,2010,3,68
732,TLW Cooper (NL),3,23,19,553,438,13,33.69,4.75,42.5,0,0,2010,2013,3,11
733,PWH de Silva (SL),2,12,12,403,429,13,33.0,6.38,31.0,0,0,2017,2019,3,15
734,Hamza Tahir (SCOT),0,6,6,338,228,13,17.53,4.04,26.0,1,1,2019,2019,5,38
735,MN Hart (NZ),8,13,12,572,373,13,28.69,3.91,44.0,0,1,1994,2002,5,22
736,RS Higgins (ZIM),0,11,11,544,380,13,29.23,4.19,41.8,1,0,2006,2006,4,21
737,Ijaz Faqih (PAK),8,27,25,1116,819,13,63.0,4.4,85.8,1,0,1980,1988,4,43
738,CBRLS Kumara (SL),2,13,13,544,623,13,47.92,6.87,41.8,0,0,2017,2019,2,26
739,Majid Khan (PAK),9,23,15,658,374,13,28.76,3.41,50.6,0,0,1973,1982,3,27
740,AD Mascarenhas (ENG),2,20,20,822,634,13,48.76,4.62,63.2,0,0,2007,2009,3,23
741,Minhajul Abedin (BDESH),13,27,18,546,511,13,39.3,5.61,42.0,0,0,1986,1999,2,39
742,Mohammad Hussain (PAK),1,14,13,672,547,13,42.07,4.88,51.6,1,0,1997,1998,4,33
743,SN Netravalkar (USA),0,9,9,403,210,13,16.15,3.12,31.0,0,1,2019,2019,5,32
744,ASA Perera (SL),3,20,18,579,522,13,40.15,5.4,44.5,0,0,1998,2001,2,25
745,MDK Perera (SL),11,13,10,456,409,13,31.46,5.38,35.0,0,0,2007,2018,3,48
746,DJ Reekers (NL),3,19,13,510,436,13,33.53,5.12,39.2,0,0,2006,2009,3,54
747,JB Reva (PNG),2,9,9,405,357,13,27.46,5.28,31.1,0,0,2016,2018,3,40
748,Sharafuddin Ashraf (AFG),5,17,17,764,559,13,43.0,4.39,58.7,0,0,2014,2019,3,29
749,JN Snape (ENG),1,10,10,529,403,13,31.0,4.57,40.6,0,0,2001,2002,3,43
750,Sompal Kami (NEPAL),1,6,6,301,247,13,19.0,4.92,23.1,0,1,2018,2019,5,33
751,Tareq Aziz (BDESH),2,10,10,465,424,13,32.61,5.47,35.7,0,0,2002,2004,3,19
752,S Thuraisingam (CAN),5,10,10,421,305,13,23.46,4.34,32.3,1,0,2003,2008,4,35
753,JJ Tucker (BMUDA),3,26,21,819,701,13,53.92,5.13,63.0,0,0,2006,2009,2,23
754,JJ van der Wath (SA),1,10,10,526,551,13,42.38,6.28,40.4,0,0,2006,2007,2,21
755,P Willey (ENG),9,26,22,1031,659,13,50.69,3.83,79.3,0,0,1977,1986,3,33
756,P Wilson (AUS),1,11,11,562,450,13,34.61,4.8,43.2,0,0,1997,1998,3,39
757,Aftab Ahmed (BDESH),6,85,30,739,656,12,54.66,5.32,61.5,0,1,2004,2010,5,31
758,Ahsan Malik (NL),3,12,11,471,408,12,34.0,5.19,39.2,0,0,2011,2014,3,38
759,M Azharuddin (INDIA),15,334,24,552,479,12,39.91,5.2,46.0,0,0,1985,2000,3,19
760,WD Balaji Rao (CAN),3,10,10,474,448,12,37.33,5.67,39.5,1,0,2008,2011,4,57
761,HR Bryan (WI),0,15,15,722,518,12,43.16,4.3,60.1,1,0,1999,1999,4,24
762,IP Butchart (ZIM),12,20,16,702,640,12,53.33,5.47,58.5,0,0,1983,1995,3,57
763,ADR Campbell (ZIM),11,188,30,509,434,12,36.16,5.11,42.4,0,0,1992,2003,2,20
764,PA Desai (CAN),4,13,13,612,485,12,40.41,4.75,51.0,0,0,2010,2014,3,35
765,AB Dinda (INDIA),3,13,13,594,612,12,51.0,6.18,49.5,0,0,2010,2013,2,44
766,H Durham (BMUDA),0,9,8,400,343,12,28.58,5.14,33.3,1,0,2006,2006,4,45
767,AM Ellis (NZ),1,15,13,480,425,12,35.41,5.31,40.0,0,0,2012,2013,2,22
768,RM Ellison (ENG),2,14,14,696,510,12,42.5,4.39,58.0,0,0,1984,1986,3,42
769,AM Guruge (UAE),1,7,7,351,337,12,28.08,5.76,29.2,1,0,2014,2015,4,56
770,TM Head (AUS),2,42,26,765,737,12,61.41,5.78,63.7,0,0,2016,2018,2,22
771,PA Hitchcock (NZ),6,14,12,558,468,12,39.0,5.03,46.5,0,0,2002,2008,3,30
772,AG Hurst (AUS),4,8,7,402,203,12,16.91,3.02,33.5,0,1,1975,1979,5,21
773,Iqbal Qasim (PAK),11,15,14,664,500,12,41.66,4.51,55.3,0,0,1977,1988,3,13
774,Kabir Khan (PAK),6,10,9,371,303,12,25.25,4.9,30.9,0,0,1994,2000,2,23
775,TP Kamungozi (ZIM),9,14,13,636,548,12,45.66,5.16,53.0,0,0,2006,2015,2,36
776,Khurram Khan (UAE),11,16,11,498,432,12,36.0,5.2,41.5,1,0,2004,2015,4,32
777,RK Kleinveldt (SA),0,10,10,513,448,12,37.33,5.23,42.7,1,0,2013,2013,4,22
778,CM Kuggeleijn (NZ),1,16,16,817,604,12,50.33,4.43,68.0,0,0,1988,1989,2,31
779,GA Lamb (ZIM),1,15,15,642,467,12,38.91,4.36,53.5,0,0,2010,2011,3,45
780,SG Law (AUS),5,54,25,807,635,12,52.91,4.72,67.2,0,0,1994,1999,2,22
781,RJ McCurdy (AUS),0,11,11,515,375,12,31.25,4.36,42.9,0,0,1985,1985,3,19
782,DR Martyn (AUS),14,208,31,794,704,12,58.66,5.31,66.1,0,0,1992,2006,2,21
783,SF Mire (ZIM),5,47,19,507,515,12,42.91,6.09,42.2,1,0,2014,2019,4,43
784,SO Ngoche (KENYA),4,14,13,569,431,12,35.91,4.54,47.4,0,0,2010,2014,2,28
785,MA Parker (SCOT),0,10,10,414,327,12,27.25,4.73,34.5,1,0,2010,2010,4,33
786,RG Petrie (NZ),1,12,12,660,449,12,37.41,4.08,55.0,0,0,1990,1991,2,25
787,PWE Rawson (ZIM),4,10,10,571,427,12,35.58,4.48,47.5,0,0,1983,1987,3,47
788,JD Ryder (NZ),6,48,19,407,412,12,34.33,6.07,33.9,0,0,2008,2014,3,29
789,Simi Singh (IRE),2,15,12,570,378,12,31.5,3.97,47.5,0,0,2017,2019,3,15
790,SR Thompson (IRE),4,20,16,559,490,12,40.83,5.25,46.5,0,0,2013,2017,2,17
791,AJ Tye (AUS),0,7,7,387,392,12,32.66,6.07,32.2,0,1,2018,2018,5,46
792,I Udana (SL),7,15,15,639,631,12,52.58,5.92,53.2,0,0,2012,2019,2,41
793,KEA Upashantha (SL),6,12,12,564,481,12,40.08,5.11,47.0,1,0,1995,2001,4,37
794,RR Watson (SCOT),4,35,17,570,528,12,44.0,5.55,47.5,0,0,2006,2010,3,18
795,CL White (AUS),13,91,19,331,351,12,29.25,6.36,27.5,0,0,2005,2018,3,5
796,PJ Wiseman (NZ),5,15,13,450,368,12,30.66,4.9,37.5,1,0,1998,2003,4,45
797,Aamer Nazir (PAK),2,9,9,417,346,11,31.45,4.97,37.9,0,0,1993,1995,3,43
798,VR Aaron (INDIA),3,9,9,380,419,11,38.09,6.61,34.5,0,0,2011,2014,3,24
799,RW Ali (KENYA),1,9,9,338,255,11,23.18,4.52,30.7,0,0,1996,1997,3,17
800,Amir Hayat (UAE),1,9,9,449,382,11,34.72,5.1,40.8,0,0,2018,2019,3,19
801,LS Baker (WI),1,10,9,426,355,11,32.27,5.0,38.7,0,0,2008,2009,3,47
802,RL Chase (WI),2,25,18,641,511,11,46.45,4.78,58.2,0,0,2017,2019,3,30
803,R Clarke (ENG),3,20,14,469,415,11,37.72,5.3,42.6,0,0,2003,2006,2,28
804,HT Davis (NZ),3,11,11,432,436,11,39.63,6.05,39.2,1,0,1994,1997,4,35
805,Z Groenewald (NAM),0,4,4,198,130,11,11.81,3.93,18.0,0,1,2019,2019,5,20
806,HF Gurney (ENG),0,10,10,455,432,11,39.27,5.69,41.3,1,0,2014,2014,4,55
807,Haris Sohail (PAK),6,41,21,642,613,11,55.72,5.72,58.3,0,0,2013,2019,3,45
808,Haseeb Amjad (HKG),2,7,7,342,288,11,26.18,5.05,31.0,0,0,2014,2016,3,49
809,DW Headley (ENG),3,13,13,594,520,11,47.27,5.25,54.0,0,0,1996,1999,2,38
810,HJ Howarth (NZ),2,9,8,492,280,11,25.45,3.41,44.7,0,0,1973,1975,3,29
811,RL Johnson (ENG),0,10,9,402,239,11,21.72,3.56,36.5,0,0,2003,2003,3,22
812,CL King (WI),4,18,15,744,529,11,48.09,4.26,67.6,1,0,1976,1980,4,23
813,NM Kulkarni (INDIA),1,10,8,402,357,11,32.45,5.32,36.5,0,0,1997,1998,3,27
814,RT Latham (NZ),4,33,21,450,386,11,35.09,5.14,40.9,0,1,1990,1994,5,32
815,P Lever (ENG),4,10,9,440,261,11,23.72,3.55,40.0,1,0,1971,1975,4,35
816,AA Mallett (AUS),4,9,9,502,341,11,31.0,4.07,45.6,0,0,1971,1975,3,34
817,MF Malone (AUS),5,10,10,612,315,11,28.63,3.08,55.6,0,0,1977,1982,2,9
818,A Martin (WI),0,9,9,444,296,11,26.9,4.0,40.3,1,0,2011,2011,4,36
819,EZ Matambanadzo (ZIM),1,7,7,297,217,11,19.72,4.38,27.0,1,0,1996,1997,4,32
820,M Mbangwa (ZIM),6,29,29,1369,1140,11,103.63,4.99,124.4,0,0,1996,2002,2,24
821,DR Parry (WI),2,6,6,330,259,11,23.54,4.7,30.0,0,0,1978,1980,3,47
822,RL Powell (WI),6,109,25,473,491,11,44.63,6.22,43.0,0,0,1999,2005,2,5
823,TT Samaraweera (SL),13,53,17,702,542,11,49.27,4.63,63.8,0,0,1998,2011,3,34
824,Shafiuddin Ahmed (BDESH),3,11,11,495,426,11,38.72,5.16,45.0,0,0,1997,2000,3,42
825,DLS van Bunge (NL),11,37,13,331,329,11,29.9,5.96,30.0,0,0,2002,2013,3,16
826,A van der Merwe (IRE),1,9,9,432,323,11,29.36,4.48,39.2,0,1,2010,2011,5,49
827,JDF Vandersay (SL),4,12,11,491,480,11,43.63,5.86,44.6,0,0,2015,2019,3,50
828,AS Wassan (INDIA),1,9,9,426,283,11,25.72,3.98,38.7,0,0,1990,1991,3,28
829,M Zondeki (Afr/SA),6,13,12,558,504,11,45.81,5.41,50.7,0,0,2002,2008,2,40
830,MW Alleyne (ENG),1,10,9,366,280,10,28.0,4.59,36.6,0,0,1999,2000,3,27
831,MA Aponso (SL),2,9,9,423,377,10,37.7,5.34,42.3,1,0,2016,2018,4,18
832,TD Astle (NZ),2,9,8,270,246,10,24.6,5.46,27.0,0,0,2017,2019,3,33
833,DJ Callaghan (SA),8,29,19,444,365,10,36.5,4.93,44.4,0,0,1992,2000,3,32
834,A Codrington (CAN),4,9,8,300,265,10,26.5,5.3,30.0,0,1,2003,2007,5,27
835,M de Lange (SA),4,4,4,209,198,10,19.8,5.68,20.9,1,0,2012,2016,4,46
836,R Dhanraj (WI),1,6,5,264,170,10,17.0,3.86,26.4,1,0,1994,1995,4,26
837,JN Frylinck (NAM),0,5,5,195,116,10,11.6,3.56,19.5,0,1,2019,2019,5,13
838,MW Gatting (ENG),16,92,14,392,336,10,33.6,5.14,39.2,0,0,1977,1993,3,32
839,NG Jones (IRE),1,14,13,389,234,10,23.4,3.6,38.9,0,0,2010,2011,2,19
840,Khawar Ali (OMAN),0,5,5,258,188,10,18.8,4.37,25.8,1,0,2019,2019,4,23
841,FJ Klaassen (NL),1,4,4,240,150,10,15.0,3.75,24.0,0,0,2018,2019,3,30
842,RR Kulkarni (INDIA),4,10,10,444,345,10,34.5,4.66,44.4,0,0,1983,1987,3,42
843,DK Liyanage (SL),9,16,16,642,510,10,51.0,4.76,64.2,0,0,1992,2001,3,49
844,Mohammad Sharif (BDESH),6,9,9,499,424,10,42.4,5.09,49.9,0,0,2001,2007,3,40
